From_ID,Origin,To_ID,Destination,Fare
KJ1,Gombak,KJ1,Gombak,0
KJ2,Taman Melati,KJ1,Gombak,1.3
KJ3,Wangsa Maju,KJ1,Gombak,1.8
KJ4,Sri Rampai,KJ1,Gombak,1.9
KJ5,Setiawangsa,KJ1,Gombak,2.5
KJ6,Jelatek,KJ1,Gombak,2.7
KJ7,Dato' Keramat,KJ1,Gombak,2.6
KJ8,Damai,KJ1,Gombak,2.7
KJ9,Ampang Park,KJ1,Gombak,2.9
KJ10,KLCC,KJ1,Gombak,3.1
KJ11,Kampung Baru,KJ1,Gombak,3.3
KJ12,Dang Wangi,KJ1,Gombak,3.1
KJ13,Masjid Jamek (KJL),KJ1,Gombak,3.2
KJ14,Pasar Seni (KJL),KJ1,Gombak,3.4
KJ15,KL Sentral (KJL),KJ1,Gombak,3.6
KJ16,Bangsar,KJ1,Gombak,3.8
KJ17,Abdullah Hukum,KJ1,Gombak,3.8
KJ18,Kerinchi,KJ1,Gombak,3.5
KJ19,Universiti,KJ1,Gombak,3.6
KJ20,Taman Jaya,KJ1,Gombak,3.1
KJ21,Asia Jaya,KJ1,Gombak,3.2
KJ22,Taman Paramount,KJ1,Gombak,3.4
KJ23,Taman Bahagia,KJ1,Gombak,3.5
KJ24,Kelana Jaya,KJ1,Gombak,3.6
KJ25,Lembah Subang,KJ1,Gombak,3.7
KJ26,Ara Damansara,KJ1,Gombak,3.9
KJ27,Glenmarie,KJ1,Gombak,4.1
KJ28,Subang Jaya,KJ1,Gombak,4.2
KJ29,SS 15,KJ1,Gombak,4.3
KJ30,SS 18,KJ1,Gombak,4.4
KJ31,USJ 7 (KJL),KJ1,Gombak,4.6
KJ32,Taipan,KJ1,Gombak,4.7
KJ33,Wawasan,KJ1,Gombak,4.8
KJ34,USJ 21,KJ1,Gombak,4.9
KJ35,Alam Megah,KJ1,Gombak,5.1
KJ36,Subang Alam,KJ1,Gombak,5.2
KJ37,Putra Heights (KJL),KJ1,Gombak,5.3
KG4,Sungai Buloh,KJ1,Gombak,5.7
KG5,Kampung Selamat,KJ1,Gombak,6.3
KG5A,Kwasa Damansara,KJ1,Gombak,6
KG6,Kwasa Sentral,KJ1,Gombak,5.8
KG7,Kota Damansara,KJ1,Gombak,6
KG8,Surian,KJ1,Gombak,5.7
KG9,Mutiara Damansara,KJ1,Gombak,5.9
KG10,Bandar Utama,KJ1,Gombak,5.6
KG12,TTDI,KJ1,Gombak,5.2
KG12A,Phileo Damansara,KJ1,Gombak,5.3
KG13,Pusat Bandar Damansara,KJ1,Gombak,4.6
KG14,Semantan,KJ1,Gombak,4.4
KG15,Muzium Negara,KJ1,Gombak,3.7
KG16,Pasar Seni (SBK),KJ1,Gombak,3.4
KG17,Merdeka,KJ1,Gombak,3.5
KG18A,Bukit Bintang,KJ1,Gombak,3.8
KG20,Tun Razak Exchange (TRX),KJ1,Gombak,4.1
KG21,Cochrane,KJ1,Gombak,4.4
KG22,Maluri (SBK),KJ1,Gombak,4.4
KG23,Taman Pertama,KJ1,Gombak,4.9
KG24,Taman Midah,KJ1,Gombak,5.1
KG25,Taman Mutiara,KJ1,Gombak,5.4
KG26,Taman Connaught,KJ1,Gombak,5.8
KG27,Taman Suntex,KJ1,Gombak,6.3
KG28,Sri Raya,KJ1,Gombak,6.2
KG29,Bandar Tun Hussein Onn,KJ1,Gombak,6.5
KG30,Batu 11 Cheras,KJ1,Gombak,6.7
KG31,Bukit Dukung,KJ1,Gombak,6.6
KG33,Sungai Jernih,KJ1,Gombak,7.1
KG34,Stadium Kajang,KJ1,Gombak,7.2
KG35,Kajang,KJ1,Gombak,6.8
KJ1,Gombak,KJ2,Taman Melati,1.3
KJ2,Taman Melati,KJ2,Taman Melati,0
KJ3,Wangsa Maju,KJ2,Taman Melati,1.4
KJ4,Sri Rampai,KJ2,Taman Melati,1.6
KJ5,Setiawangsa,KJ2,Taman Melati,2.1
KJ6,Jelatek,KJ2,Taman Melati,2.4
KJ7,Dato' Keramat,KJ2,Taman Melati,2.5
KJ8,Damai,KJ2,Taman Melati,2.7
KJ9,Ampang Park,KJ2,Taman Melati,2.6
KJ10,KLCC,KJ2,Taman Melati,2.8
KJ11,Kampung Baru,KJ2,Taman Melati,3
KJ12,Dang Wangi,KJ2,Taman Melati,3.2
KJ13,Masjid Jamek (KJL),KJ2,Taman Melati,3.4
KJ14,Pasar Seni (KJL),KJ2,Taman Melati,3.2
KJ15,KL Sentral (KJL),KJ2,Taman Melati,3.4
KJ16,Bangsar,KJ2,Taman Melati,3.5
KJ17,Abdullah Hukum,KJ2,Taman Melati,3.5
KJ18,Kerinchi,KJ2,Taman Melati,3.3
KJ19,Universiti,KJ2,Taman Melati,3.4
KJ20,Taman Jaya,KJ2,Taman Melati,3.7
KJ21,Asia Jaya,KJ2,Taman Melati,3.8
KJ22,Taman Paramount,KJ2,Taman Melati,3.2
KJ23,Taman Bahagia,KJ2,Taman Melati,3.3
KJ24,Kelana Jaya,KJ2,Taman Melati,3.4
KJ25,Lembah Subang,KJ2,Taman Melati,3.7
KJ26,Ara Damansara,KJ2,Taman Melati,3.8
KJ27,Glenmarie,KJ2,Taman Melati,3.9
KJ28,Subang Jaya,KJ2,Taman Melati,4.1
KJ29,SS 15,KJ2,Taman Melati,4.2
KJ30,SS 18,KJ2,Taman Melati,4.3
KJ31,USJ 7 (KJL),KJ2,Taman Melati,4.5
KJ32,Taipan,KJ2,Taman Melati,4.5
KJ33,Wawasan,KJ2,Taman Melati,4.7
KJ34,USJ 21,KJ2,Taman Melati,4.8
KJ35,Alam Megah,KJ2,Taman Melati,4.9
KJ36,Subang Alam,KJ2,Taman Melati,5.1
KJ37,Putra Heights (KJL),KJ2,Taman Melati,5.1
KG4,Sungai Buloh,KJ2,Taman Melati,5.4
KG5,Kampung Selamat,KJ2,Taman Melati,6
KG5A,Kwasa Damansara,KJ2,Taman Melati,5.7
KG6,Kwasa Sentral,KJ2,Taman Melati,5.6
KG7,Kota Damansara,KJ2,Taman Melati,5.7
KG8,Surian,KJ2,Taman Melati,5.5
KG9,Mutiara Damansara,KJ2,Taman Melati,5.6
KG10,Bandar Utama,KJ2,Taman Melati,5.3
KG12,TTDI,KJ2,Taman Melati,5
KG12A,Phileo Damansara,KJ2,Taman Melati,5
KG13,Pusat Bandar Damansara,KJ2,Taman Melati,4.4
KG14,Semantan,KJ2,Taman Melati,4.2
KG15,Muzium Negara,KJ2,Taman Melati,3.5
KG16,Pasar Seni (SBK),KJ2,Taman Melati,3.2
KG17,Merdeka,KJ2,Taman Melati,3.6
KG18A,Bukit Bintang,KJ2,Taman Melati,3.9
KG20,Tun Razak Exchange (TRX),KJ2,Taman Melati,4.3
KG21,Cochrane,KJ2,Taman Melati,4.6
KG22,Maluri (SBK),KJ2,Taman Melati,4.6
KG23,Taman Pertama,KJ2,Taman Melati,5.1
KG24,Taman Midah,KJ2,Taman Melati,5.3
KG25,Taman Mutiara,KJ2,Taman Melati,5.6
KG26,Taman Connaught,KJ2,Taman Melati,5.9
KG27,Taman Suntex,KJ2,Taman Melati,6.4
KG28,Sri Raya,KJ2,Taman Melati,6.4
KG29,Bandar Tun Hussein Onn,KJ2,Taman Melati,6.7
KG30,Batu 11 Cheras,KJ2,Taman Melati,6.8
KG31,Bukit Dukung,KJ2,Taman Melati,6.7
KG33,Sungai Jernih,KJ2,Taman Melati,7.2
KG34,Stadium Kajang,KJ2,Taman Melati,7.3
KG35,Kajang,KJ2,Taman Melati,7
KJ1,Gombak,KJ3,Wangsa Maju,1.8
KJ2,Taman Melati,KJ3,Wangsa Maju,1.4
KJ3,Wangsa Maju,KJ3,Wangsa Maju,0
KJ4,Sri Rampai,KJ3,Wangsa Maju,1.6
KJ5,Setiawangsa,KJ3,Wangsa Maju,1.8
KJ6,Jelatek,KJ3,Wangsa Maju,1.9
KJ7,Dato' Keramat,KJ3,Wangsa Maju,2
KJ8,Damai,KJ3,Wangsa Maju,2.2
KJ9,Ampang Park,KJ3,Wangsa Maju,2.5
KJ10,KLCC,KJ3,Wangsa Maju,2.7
KJ11,Kampung Baru,KJ3,Wangsa Maju,2.6
KJ12,Dang Wangi,KJ3,Wangsa Maju,2.8
KJ13,Masjid Jamek (KJL),KJ3,Wangsa Maju,3
KJ14,Pasar Seni (KJL),KJ3,Wangsa Maju,3.2
KJ15,KL Sentral (KJL),KJ3,Wangsa Maju,3.1
KJ16,Bangsar,KJ3,Wangsa Maju,3.2
KJ17,Abdullah Hukum,KJ3,Wangsa Maju,3.2
KJ18,Kerinchi,KJ3,Wangsa Maju,3.6
KJ19,Universiti,KJ3,Wangsa Maju,3.7
KJ20,Taman Jaya,KJ3,Wangsa Maju,3.4
KJ21,Asia Jaya,KJ3,Wangsa Maju,3.5
KJ22,Taman Paramount,KJ3,Wangsa Maju,3.7
KJ23,Taman Bahagia,KJ3,Wangsa Maju,3.1
KJ24,Kelana Jaya,KJ3,Wangsa Maju,3.2
KJ25,Lembah Subang,KJ3,Wangsa Maju,3.5
KJ26,Ara Damansara,KJ3,Wangsa Maju,3.6
KJ27,Glenmarie,KJ3,Wangsa Maju,3.7
KJ28,Subang Jaya,KJ3,Wangsa Maju,3.9
KJ29,SS 15,KJ3,Wangsa Maju,4
KJ30,SS 18,KJ3,Wangsa Maju,4.1
KJ31,USJ 7 (KJL),KJ3,Wangsa Maju,4.3
KJ32,Taipan,KJ3,Wangsa Maju,4.4
KJ33,Wawasan,KJ3,Wangsa Maju,4.5
KJ34,USJ 21,KJ3,Wangsa Maju,4.6
KJ35,Alam Megah,KJ3,Wangsa Maju,4.8
KJ36,Subang Alam,KJ3,Wangsa Maju,4.9
KJ37,Putra Heights (KJL),KJ3,Wangsa Maju,4.9
KG4,Sungai Buloh,KJ3,Wangsa Maju,5.5
KG5,Kampung Selamat,KJ3,Wangsa Maju,6.1
KG5A,Kwasa Damansara,KJ3,Wangsa Maju,5.8
KG6,Kwasa Sentral,KJ3,Wangsa Maju,5.7
KG7,Kota Damansara,KJ3,Wangsa Maju,5.8
KG8,Surian,KJ3,Wangsa Maju,5.6
KG9,Mutiara Damansara,KJ3,Wangsa Maju,5.7
KG10,Bandar Utama,KJ3,Wangsa Maju,5.4
KG12,TTDI,KJ3,Wangsa Maju,5.1
KG12A,Phileo Damansara,KJ3,Wangsa Maju,5.1
KG13,Pusat Bandar Damansara,KJ3,Wangsa Maju,4.5
KG14,Semantan,KJ3,Wangsa Maju,4.2
KG15,Muzium Negara,KJ3,Wangsa Maju,3.6
KG16,Pasar Seni (SBK),KJ3,Wangsa Maju,3.2
KG17,Merdeka,KJ3,Wangsa Maju,3.3
KG18A,Bukit Bintang,KJ3,Wangsa Maju,3.6
KG20,Tun Razak Exchange (TRX),KJ3,Wangsa Maju,3.9
KG21,Cochrane,KJ3,Wangsa Maju,4.2
KG22,Maluri (SBK),KJ3,Wangsa Maju,4.2
KG23,Taman Pertama,KJ3,Wangsa Maju,4.7
KG24,Taman Midah,KJ3,Wangsa Maju,4.9
KG25,Taman Mutiara,KJ3,Wangsa Maju,5.2
KG26,Taman Connaught,KJ3,Wangsa Maju,5.6
KG27,Taman Suntex,KJ3,Wangsa Maju,6.1
KG28,Sri Raya,KJ3,Wangsa Maju,6
KG29,Bandar Tun Hussein Onn,KJ3,Wangsa Maju,6.3
KG30,Batu 11 Cheras,KJ3,Wangsa Maju,6.5
KG31,Bukit Dukung,KJ3,Wangsa Maju,6.4
KG33,Sungai Jernih,KJ3,Wangsa Maju,6.9
KG34,Stadium Kajang,KJ3,Wangsa Maju,7
KG35,Kajang,KJ3,Wangsa Maju,6.6
KJ1,Gombak,KJ4,Sri Rampai,1.9
KJ2,Taman Melati,KJ4,Sri Rampai,1.6
KJ3,Wangsa Maju,KJ4,Sri Rampai,1.8
KJ4,Sri Rampai,KJ4,Sri Rampai,0
KJ5,Setiawangsa,KJ4,Sri Rampai,1.5
KJ6,Jelatek,KJ4,Sri Rampai,1.8
KJ7,Dato' Keramat,KJ4,Sri Rampai,1.8
KJ8,Damai,KJ4,Sri Rampai,2
KJ9,Ampang Park,KJ4,Sri Rampai,2.2
KJ10,KLCC,KJ4,Sri Rampai,2.4
KJ11,Kampung Baru,KJ4,Sri Rampai,2.6
KJ12,Dang Wangi,KJ4,Sri Rampai,2.6
KJ13,Masjid Jamek (KJL),KJ4,Sri Rampai,2.8
KJ14,Pasar Seni (KJL),KJ4,Sri Rampai,3
KJ15,KL Sentral (KJL),KJ4,Sri Rampai,3.3
KJ16,Bangsar,KJ4,Sri Rampai,3.1
KJ17,Abdullah Hukum,KJ4,Sri Rampai,3.3
KJ18,Kerinchi,KJ4,Sri Rampai,3.4
KJ19,Universiti,KJ4,Sri Rampai,3.5
KJ20,Taman Jaya,KJ4,Sri Rampai,3.3
KJ21,Asia Jaya,KJ4,Sri Rampai,3.4
KJ22,Taman Paramount,KJ4,Sri Rampai,3.6
KJ23,Taman Bahagia,KJ4,Sri Rampai,3.7
KJ24,Kelana Jaya,KJ4,Sri Rampai,3.1
KJ25,Lembah Subang,KJ4,Sri Rampai,3.3
KJ26,Ara Damansara,KJ4,Sri Rampai,3.3
KJ27,Glenmarie,KJ4,Sri Rampai,3.5
KJ28,Subang Jaya,KJ4,Sri Rampai,3.6
KJ29,SS 15,KJ4,Sri Rampai,3.8
KJ30,SS 18,KJ4,Sri Rampai,3.8
KJ31,USJ 7 (KJL),KJ4,Sri Rampai,4
KJ32,Taipan,KJ4,Sri Rampai,4.1
KJ33,Wawasan,KJ4,Sri Rampai,4.2
KJ34,USJ 21,KJ4,Sri Rampai,4.3
KJ35,Alam Megah,KJ4,Sri Rampai,4.5
KJ36,Subang Alam,KJ4,Sri Rampai,4.8
KJ37,Putra Heights (KJL),KJ4,Sri Rampai,4.8
KG4,Sungai Buloh,KJ4,Sri Rampai,5.3
KG5,Kampung Selamat,KJ4,Sri Rampai,5.9
KG5A,Kwasa Damansara,KJ4,Sri Rampai,5.6
KG6,Kwasa Sentral,KJ4,Sri Rampai,5.5
KG7,Kota Damansara,KJ4,Sri Rampai,5.6
KG8,Surian,KJ4,Sri Rampai,5.4
KG9,Mutiara Damansara,KJ4,Sri Rampai,5.5
KG10,Bandar Utama,KJ4,Sri Rampai,5.2
KG12,TTDI,KJ4,Sri Rampai,4.9
KG12A,Phileo Damansara,KJ4,Sri Rampai,4.9
KG13,Pusat Bandar Damansara,KJ4,Sri Rampai,4.3
KG14,Semantan,KJ4,Sri Rampai,4
KG15,Muzium Negara,KJ4,Sri Rampai,3.4
KG16,Pasar Seni (SBK),KJ4,Sri Rampai,3
KG17,Merdeka,KJ4,Sri Rampai,3.1
KG18A,Bukit Bintang,KJ4,Sri Rampai,3.4
KG20,Tun Razak Exchange (TRX),KJ4,Sri Rampai,3.7
KG21,Cochrane,KJ4,Sri Rampai,4
KG22,Maluri (SBK),KJ4,Sri Rampai,4
KG23,Taman Pertama,KJ4,Sri Rampai,4.5
KG24,Taman Midah,KJ4,Sri Rampai,4.7
KG25,Taman Mutiara,KJ4,Sri Rampai,5
KG26,Taman Connaught,KJ4,Sri Rampai,5.4
KG27,Taman Suntex,KJ4,Sri Rampai,5.9
KG28,Sri Raya,KJ4,Sri Rampai,5.8
KG29,Bandar Tun Hussein Onn,KJ4,Sri Rampai,6.1
KG30,Batu 11 Cheras,KJ4,Sri Rampai,6.2
KG31,Bukit Dukung,KJ4,Sri Rampai,6.1
KG33,Sungai Jernih,KJ4,Sri Rampai,6.6
KG34,Stadium Kajang,KJ4,Sri Rampai,6.8
KG35,Kajang,KJ4,Sri Rampai,6.4
KJ1,Gombak,KJ5,Setiawangsa,2.5
KJ2,Taman Melati,KJ5,Setiawangsa,2.1
KJ3,Wangsa Maju,KJ5,Setiawangsa,1.8
KJ4,Sri Rampai,KJ5,Setiawangsa,1.5
KJ5,Setiawangsa,KJ5,Setiawangsa,0
KJ6,Jelatek,KJ5,Setiawangsa,1.1
KJ7,Dato' Keramat,KJ5,Setiawangsa,1.2
KJ8,Damai,KJ5,Setiawangsa,1.4
KJ9,Ampang Park,KJ5,Setiawangsa,1.7
KJ10,KLCC,KJ5,Setiawangsa,1.8
KJ11,Kampung Baru,KJ5,Setiawangsa,2.1
KJ12,Dang Wangi,KJ5,Setiawangsa,2.3
KJ13,Masjid Jamek (KJL),KJ5,Setiawangsa,2.6
KJ14,Pasar Seni (KJL),KJ5,Setiawangsa,2.8
KJ15,KL Sentral (KJL),KJ5,Setiawangsa,2.8
KJ16,Bangsar,KJ5,Setiawangsa,3
KJ17,Abdullah Hukum,KJ5,Setiawangsa,3.2
KJ18,Kerinchi,KJ5,Setiawangsa,3.4
KJ19,Universiti,KJ5,Setiawangsa,3.1
KJ20,Taman Jaya,KJ5,Setiawangsa,3.5
KJ21,Asia Jaya,KJ5,Setiawangsa,3.6
KJ22,Taman Paramount,KJ5,Setiawangsa,3.3
KJ23,Taman Bahagia,KJ5,Setiawangsa,3.4
KJ24,Kelana Jaya,KJ5,Setiawangsa,3.5
KJ25,Lembah Subang,KJ5,Setiawangsa,3.7
KJ26,Ara Damansara,KJ5,Setiawangsa,3.8
KJ27,Glenmarie,KJ5,Setiawangsa,3.2
KJ28,Subang Jaya,KJ5,Setiawangsa,3.4
KJ29,SS 15,KJ5,Setiawangsa,3.5
KJ30,SS 18,KJ5,Setiawangsa,3.6
KJ31,USJ 7 (KJL),KJ5,Setiawangsa,3.8
KJ32,Taipan,KJ5,Setiawangsa,3.9
KJ33,Wawasan,KJ5,Setiawangsa,4
KJ34,USJ 21,KJ5,Setiawangsa,4.1
KJ35,Alam Megah,KJ5,Setiawangsa,4.3
KJ36,Subang Alam,KJ5,Setiawangsa,4.4
KJ37,Putra Heights (KJL),KJ5,Setiawangsa,4.5
KG4,Sungai Buloh,KJ5,Setiawangsa,5.2
KG5,Kampung Selamat,KJ5,Setiawangsa,5.8
KG5A,Kwasa Damansara,KJ5,Setiawangsa,5.5
KG6,Kwasa Sentral,KJ5,Setiawangsa,5.3
KG7,Kota Damansara,KJ5,Setiawangsa,5.5
KG8,Surian,KJ5,Setiawangsa,5.2
KG9,Mutiara Damansara,KJ5,Setiawangsa,5.3
KG10,Bandar Utama,KJ5,Setiawangsa,5.1
KG12,TTDI,KJ5,Setiawangsa,4.7
KG12A,Phileo Damansara,KJ5,Setiawangsa,4.8
KG13,Pusat Bandar Damansara,KJ5,Setiawangsa,4.1
KG14,Semantan,KJ5,Setiawangsa,3.9
KG15,Muzium Negara,KJ5,Setiawangsa,3.2
KG16,Pasar Seni (SBK),KJ5,Setiawangsa,2.8
KG17,Merdeka,KJ5,Setiawangsa,2.8
KG18A,Bukit Bintang,KJ5,Setiawangsa,3.2
KG20,Tun Razak Exchange (TRX),KJ5,Setiawangsa,3.6
KG21,Cochrane,KJ5,Setiawangsa,3.9
KG22,Maluri (SBK),KJ5,Setiawangsa,3.9
KG23,Taman Pertama,KJ5,Setiawangsa,4.3
KG24,Taman Midah,KJ5,Setiawangsa,4.6
KG25,Taman Mutiara,KJ5,Setiawangsa,4.8
KG26,Taman Connaught,KJ5,Setiawangsa,5.2
KG27,Taman Suntex,KJ5,Setiawangsa,5.7
KG28,Sri Raya,KJ5,Setiawangsa,5.6
KG29,Bandar Tun Hussein Onn,KJ5,Setiawangsa,5.9
KG30,Batu 11 Cheras,KJ5,Setiawangsa,6.1
KG31,Bukit Dukung,KJ5,Setiawangsa,6
KG33,Sungai Jernih,KJ5,Setiawangsa,6.5
KG34,Stadium Kajang,KJ5,Setiawangsa,6.6
KG35,Kajang,KJ5,Setiawangsa,6.2
KJ1,Gombak,KJ6,Jelatek,2.7
