From_ID,To_ID,Time,Fare
KJ1,KJ1,0,0.0
KJ2,KJ1,3,1.3
KJ3,KJ1,7,1.8
KJ4,KJ1,9,1.9
KJ5,KJ1,15,2.5
KJ6,KJ1,17,2.7
KJ7,KJ1,18,2.6
KJ8,KJ1,19,2.7
KJ9,KJ1,21,2.9
KJ10,KJ1,22,3.1
KJ11,KJ1,24,3.3
KJ12,KJ1,26,3.1
KJ13,KJ1,28,3.2
KJ14,KJ1,29,3.4
KJ15,KJ1,32,3.6
KJ16,KJ1,34,3.8
KJ17,KJ1,37,3.8
KJ18,KJ1,38,3.5
KJ19,KJ1,40,3.6
KJ20,KJ1,44,3.1
KJ21,KJ1,46,3.2
KJ22,KJ1,49,3.4
KJ23,KJ1,52,3.5
KJ24,KJ1,54,3.6
KJ25,KJ1,57,3.7
KJ26,KJ1,59,3.9
KJ27,KJ1,62,4.1
KJ28,KJ1,63,4.2
KJ29,KJ1,67,4.3
KJ30,KJ1,69,4.4
KJ31,KJ1,72,4.6
KJ32,KJ1,73,4.7
KJ33,KJ1,76,4.8
KJ34,KJ1,78,4.9
KJ35,KJ1,81,5.1
KJ36,KJ1,84,5.2
KJ37,KJ1,88,5.3
KG4,KJ1,62,5.7
KG5,KJ1,59,6.3
KG5A,KJ1,54,6.0
KG6,KJ1,52,5.8
KG7,KJ1,48,6.0
KG8,KJ1,46,5.7
KG9,KJ1,44,5.9
KG10,KJ1,42,5.6
KG12,KJ1,38,5.2
KG12A,KJ1,34,5.3
KG13,KJ1,63,4.6
KG14,KJ1,60,4.4
KG15,KJ1,55,3.7
KG16,KJ1,53,3.4
KG17,KJ1,49,3.5
KG18A,KJ1,47,3.8
KG20,KJ1,45,4.1
KG21,KJ1,43,4.4
KG22,KJ1,39,4.4
KG23,KJ1,35,4.9
KG24,KJ1,64,5.1
KG25,KJ1,61,5.4
KG26,KJ1,56,5.8
KG27,KJ1,54,6.3
KG28,KJ1,50,6.2
KG29,KJ1,48,6.5
KG30,KJ1,46,6.7
KG31,KJ1,44,6.6
KG33,KJ1,40,7.1
KG34,KJ1,36,7.2
KG35,KJ1,65,6.8
KJ1,KJ2,3,1.3
KJ2,KJ2,0,0.0
KJ3,KJ2,4,1.4
KJ4,KJ2,6,1.6
KJ5,KJ2,12,2.1
KJ6,KJ2,14,2.4
KJ7,KJ2,15,2.5
KJ8,KJ2,16,2.7
KJ9,KJ2,18,2.6
KJ10,KJ2,19,2.8
KJ11,KJ2,21,3.0
KJ12,KJ2,23,3.2
KJ13,KJ2,25,3.4
KJ14,KJ2,26,3.2
KJ15,KJ2,29,3.4
KJ16,KJ2,31,3.5
KJ17,KJ2,34,3.5
KJ18,KJ2,35,3.3
KJ19,KJ2,37,3.4
KJ20,KJ2,41,3.7
KJ21,KJ2,43,3.8
KJ22,KJ2,46,3.2
KJ23,KJ2,49,3.3
KJ24,KJ2,51,3.4
KJ25,KJ2,54,3.7
KJ26,KJ2,56,3.8
KJ27,KJ2,59,3.9
KJ28,KJ2,60,4.1
KJ29,KJ2,64,4.2
KJ30,KJ2,66,4.3
KJ31,KJ2,69,4.5
KJ32,KJ2,70,4.5
KJ33,KJ2,73,4.7
KJ34,KJ2,75,4.8
KJ35,KJ2,78,4.9
KJ36,KJ2,81,5.1
KJ37,KJ2,85,5.1
KG4,KJ2,59,5.4
KG5,KJ2,56,6.0
KG5A,KJ2,51,5.7
KG6,KJ2,49,5.6
KG7,KJ2,45,5.7
KG8,KJ2,43,5.5
KG9,KJ2,41,5.6
KG10,KJ2,39,5.3
KG12,KJ2,35,5.0
