From_ID,Origin,To_ID,Destination,Time
KJ1,Gombak,KJ1,Gombak,0
KJ2,Taman Melati,KJ1,Gombak,3
KJ3,Wangsa Maju,KJ1,Gombak,7
KJ4,Sri Rampai,KJ1,Gombak,9
KJ5,Setiawangsa,KJ1,Gombak,15
KJ6,Jelatek,KJ1,Gombak,17
KJ7,Dato' Keramat,KJ1,Gombak,18
KJ8,Damai,KJ1,Gombak,19
KJ9,Ampang Park,KJ1,Gombak,21
KJ10,KLCC,KJ1,Gombak,22
KJ11,Kampung Baru,KJ1,Gombak,24
KJ12,Dang Wangi,KJ1,Gombak,26
KJ13,Masjid Jamek (KJL),KJ1,Gombak,28
KJ14,Pasar Seni (KJL),KJ1,Gombak,29
KJ15,KL Sentral (KJL),KJ1,Gombak,32
KJ16,Bangsar,KJ1,Gombak,34
KJ17,Abdullah Hukum,KJ1,Gombak,37
KJ18,Kerinchi,KJ1,Gombak,38
KJ19,Universiti,KJ1,Gombak,40
KJ20,Taman Jaya,KJ1,Gombak,44
KJ21,Asia Jaya,KJ1,Gombak,46
KJ22,Taman Paramount,KJ1,Gombak,49
KJ23,Taman Bahagia,KJ1,Gombak,52
KJ24,Kelana Jaya,KJ1,Gombak,54
KJ25,Lembah Subang,KJ1,Gombak,57
KJ26,Ara Damansara,KJ1,Gombak,59
KJ27,Glenmarie,KJ1,Gombak,62
KJ28,Subang Jaya,KJ1,Gombak,63
KJ29,SS 15,KJ1,Gombak,67
KJ30,SS 18,KJ1,Gombak,69
KJ31,USJ 7 (KJL),KJ1,Gombak,72
KJ32,Taipan,KJ1,Gombak,73
KJ33,Wawasan,KJ1,Gombak,76
KJ34,USJ 21,KJ1,Gombak,78
KJ35,Alam Megah,KJ1,Gombak,81
KJ36,Subang Alam,KJ1,Gombak,84
KJ37,Putra Heights (KJL),KJ1,Gombak,88
KG4,Sungai Buloh,KJ1,Gombak,62
KG5,Kampung Selamat,KJ1,Gombak,59
KG5A,Kwasa Damansara,KJ1,Gombak,54
KG6,Kwasa Sentral,KJ1,Gombak,52
KG7,Kota Damansara,KJ1,Gombak,48
KG8,Surian,KJ1,Gombak,46
KG9,Mutiara Damansara,KJ1,Gombak,44
KG10,Bandar Utama,KJ1,Gombak,42
KG12,TTDI,KJ1,Gombak,38
KG12A,Phileo Damansara,KJ1,Gombak,34
KG13,Pusat Bandar Damansara,KJ1,Gombak,63
KG14,Semantan,KJ1,Gombak,60
KG15,Muzium Negara,KJ1,Gombak,55
KG16,Pasar Seni (SBK),KJ1,Gombak,53
KG17,Merdeka,KJ1,Gombak,49
KG18A,Bukit Bintang,KJ1,Gombak,47
KG20,Tun Razak Exchange (TRX),KJ1,Gombak,45
KG21,Cochrane,KJ1,Gombak,43
KG22,Maluri (SBK),KJ1,Gombak,39
KG23,Taman Pertama,KJ1,Gombak,35
KG24,Taman Midah,KJ1,Gombak,64
KG25,Taman Mutiara,KJ1,Gombak,61
KG26,Taman Connaught,KJ1,Gombak,56
KG27,Taman Suntex,KJ1,Gombak,54
KG28,Sri Raya,KJ1,Gombak,50
KG29,Bandar Tun Hussein Onn,KJ1,Gombak,48
KG30,Batu 11 Cheras,KJ1,Gombak,46
KG31,Bukit Dukung,KJ1,Gombak,44
KG33,Sungai Jernih,KJ1,Gombak,40
KG34,Stadium Kajang,KJ1,Gombak,36
KG35,Kajang,KJ1,Gombak,65
KJ1,Gombak,KJ2,Taman Melati,3
KJ2,Taman Melati,KJ2,Taman Melati,0
KJ3,Wangsa Maju,KJ2,Taman Melati,4
KJ4,Sri Rampai,KJ2,Taman Melati,6
KJ5,Setiawangsa,KJ2,Taman Melati,12
KJ6,Jelatek,KJ2,Taman Melati,14
KJ7,Dato' Keramat,KJ2,Taman Melati,15
KJ8,Damai,KJ2,Taman Melati,16
KJ9,Ampang Park,KJ2,Taman Melati,18
KJ10,KLCC,KJ2,Taman Melati,19
KJ11,Kampung Baru,KJ2,Taman Melati,21
KJ12,Dang Wangi,KJ2,Taman Melati,23
KJ13,Masjid Jamek (KJL),KJ2,Taman Melati,25
KJ14,Pasar Seni (KJL),KJ2,Taman Melati,26
KJ15,KL Sentral (KJL),KJ2,Taman Melati,29
KJ16,Bangsar,KJ2,Taman Melati,31
KJ17,Abdullah Hukum,KJ2,Taman Melati,34
KJ18,Kerinchi,KJ2,Taman Melati,35
KJ19,Universiti,KJ2,Taman Melati,37
KJ20,Taman Jaya,KJ2,Taman Melati,41
KJ21,Asia Jaya,KJ2,Taman Melati,43
KJ22,Taman Paramount,KJ2,Taman Melati,46
KJ23,Taman Bahagia,KJ2,Taman Melati,49
KJ24,Kelana Jaya,KJ2,Taman Melati,51
KJ25,Lembah Subang,KJ2,Taman Melati,54
KJ26,Ara Damansara,KJ2,Taman Melati,56
KJ27,Glenmarie,KJ2,Taman Melati,59
KJ28,Subang Jaya,KJ2,Taman Melati,60
KJ29,SS 15,KJ2,Taman Melati,64
KJ30,SS 18,KJ2,Taman Melati,66
KJ31,USJ 7 (KJL),KJ2,Taman Melati,69
KJ32,Taipan,KJ2,Taman Melati,70
KJ33,Wawasan,KJ2,Taman Melati,73
KJ34,USJ 21,KJ2,Taman Melati,75
KJ35,Alam Megah,KJ2,Taman Melati,78
KJ36,Subang Alam,KJ2,Taman Melati,81
KJ37,Putra Heights (KJL),KJ2,Taman Melati,85
KG4,Sungai Buloh,KJ2,Taman Melati,59
KG5,Kampung Selamat,KJ2,Taman Melati,56
KG5A,Kwasa Damansara,KJ2,Taman Melati,51
KG6,Kwasa Sentral,KJ2,Taman Melati,49
KG7,Kota Damansara,KJ2,Taman Melati,45
KG8,Surian,KJ2,Taman Melati,43
KG9,Mutiara Damansara,KJ2,Taman Melati,41
KG10,Bandar Utama,KJ2,Taman Melati,39
KG12,TTDI,KJ2,Taman Melati,35
KG12A,Phileo Damansara,KJ2,Taman Melati,31
KG13,Pusat Bandar Damansara,KJ2,Taman Melati,60
KG14,Semantan,KJ2,Taman Melati,57
KG15,Muzium Negara,KJ2,Taman Melati,52
KG16,Pasar Seni (SBK),KJ2,Taman Melati,50
KG17,Merdeka,KJ2,Taman Melati,46
KG18A,Bukit Bintang,KJ2,Taman Melati,44
KG20,Tun Razak Exchange (TRX),KJ2,Taman Melati,42
KG21,Cochrane,KJ2,Taman Melati,40
KG22,Maluri (SBK),KJ2,Taman Melati,36
KG23,Taman Pertama,KJ2,Taman Melati,32
KG24,Taman Midah,KJ2,Taman Melati,61
KG25,Taman Mutiara,KJ2,Taman Melati,58
KG26,Taman Connaught,KJ2,Taman Melati,53
KG27,Taman Suntex,KJ2,Taman Melati,51
KG28,Sri Raya,KJ2,Taman Melati,47
KG29,Bandar Tun Hussein Onn,KJ2,Taman Melati,45
KG30,Batu 11 Cheras,KJ2,Taman Melati,43
KG31,Bukit Dukung,KJ2,Taman Melati,41
KG33,Sungai Jernih,KJ2,Taman Melati,37
KG34,Stadium Kajang,KJ2,Taman Melati,33
KG35,Kajang,KJ2,Taman Melati,62
KJ1,Gombak,KJ3,Wangsa Maju,7
KJ2,Taman Melati,KJ3,Wangsa Maju,4
KJ3,Wangsa Maju,KJ3,Wangsa Maju,0
KJ4,Sri Rampai,KJ3,Wangsa Maju,2
KJ5,Setiawangsa,KJ3,Wangsa Maju,8
KJ6,Jelatek,KJ3,Wangsa Maju,10
KJ7,Dato' Keramat,KJ3,Wangsa Maju,11
KJ8,Damai,KJ3,Wangsa Maju,12
KJ9,Ampang Park,KJ3,Wangsa Maju,14
KJ10,KLCC,KJ3,Wangsa Maju,15
KJ11,Kampung Baru,KJ3,Wangsa Maju,17
KJ12,Dang Wangi,KJ3,Wangsa Maju,19
KJ13,Masjid Jamek (KJL),KJ3,Wangsa Maju,21
KJ14,Pasar Seni (KJL),KJ3,Wangsa Maju,22
KJ15,KL Sentral (KJL),KJ3,Wangsa Maju,25
KJ16,Bangsar,KJ3,Wangsa Maju,27
KJ17,Abdullah Hukum,KJ3,Wangsa Maju,30
KJ18,Kerinchi,KJ3,Wangsa Maju,31
KJ19,Universiti,KJ3,Wangsa Maju,33
KJ20,Taman Jaya,KJ3,Wangsa Maju,37
KJ21,Asia Jaya,KJ3,Wangsa Maju,39
KJ22,Taman Paramount,KJ3,Wangsa Maju,42
KJ23,Taman Bahagia,KJ3,Wangsa Maju,45
KJ24,Kelana Jaya,KJ3,Wangsa Maju,47
KJ25,Lembah Subang,KJ3,Wangsa Maju,50
KJ26,Ara Damansara,KJ3,Wangsa Maju,52
KJ27,Glenmarie,KJ3,Wangsa Maju,55
KJ28,Subang Jaya,KJ3,Wangsa Maju,56
KJ29,SS 15,KJ3,Wangsa Maju,60
KJ30,SS 18,KJ3,Wangsa Maju,62
KJ31,USJ 7 (KJL),KJ3,Wangsa Maju,65
KJ32,Taipan,KJ3,Wangsa Maju,66
KJ33,Wawasan,KJ3,Wangsa Maju,69
KJ34,USJ 21,KJ3,Wangsa Maju,71
KJ35,Alam Megah,KJ3,Wangsa Maju,74
KJ36,Subang Alam,KJ3,Wangsa Maju,77
KJ37,Putra Heights (KJL),KJ3,Wangsa Maju,81
